Actors,film_count,average_rating
Mickie McGowan,7,8.2
Miguel Jiron,2,8.5
Miles Teller,2,8.4
Minnie Driver,2,8.3
Minoru Chiaki,4,8.4
Minoru Itô,2,8.5
Miranda Nolan,2,8.6
Miranda Otto,2,8.9
Mona Marshall,3,8.3
Monique Ganderton,2,8.4
Morgan Freeman,7,8.5
Morgana King,2,9.1
Mykelti Williamson,2,8.6
Natalie Portman,4,8.3
Neal Huff,2,8.1
Ned Beatty,2,8.2
Ned Bellamy,2,8.9
Nellie Sciutto,2,8.4
Nestor Carbonell,2,8.7
Newell Alexander,2,8.1
Nicholas Bird,2,8.1
Nick Moran,2,8.1
Nick Nolte,2,8.1
Noah Emmerich,2,8.1
Nobuo Nakamura,3,8.3
Noel Appleby,2,9.0
Noel Evangelisti,2,8.4
Norbert Weisser,2,8.6
Noriko Honma,4,8.3
Norma Varden,2,8.2
Olaniyan Thurmon,2,8.4
Oliver Maguire,2,8.4
Oliver Stritzel,2,8.3
Olivia Williams,2,8.2
Ollie Johnston,2,8.0
Orlando Bloom,4,8.7
Orson Welles,2,8.2
Oscar Camacho,2,8.5
Oscar Isaac,2,8.5
P.J. Byrne,2,8.2
Panuvat Anthony Nanakornpanom,2,8.1
Pat Fraley,2,8.2
Pat McNamara,2,8.7
Pat Roach,3,8.2
Patricia Clarkson,2,8.4
Patrick Leahy,2,8.7
Patrick Magee,2,8.1
Patrick Pinney,3,8.1
Paul Bettany,2,8.3
Paul Dano,3,8.2
Paul Eiding,4,8.3
Paul Giamatti,3,8.3
Paul Guilfoyle,3,8.1
Paul Herman,4,8.4
Paul Jenkins,2,8.1
Paul Maxwell,2,8.3
Paul Newman,2,8.2
Paul Reiser,2,8.4
Paulette Goddard,2,8.4
Pete Docter,4,8.1
Pete Postlethwaite,3,8.5
Peter Dinklage,2,8.2
Peter Fain,2,8.4
Peter Lorre,2,8.4
Peter Maloney,2,8.2
Peter Mayhew,3,8.5
Peter Mullan,2,8.2
Peter O'Toole,2,8.2
Peter Renaday,2,8.1
Peter Savage,2,8.1
Peter Sohn,3,8.2
Peter Stormare,2,8.1
Phil Grieve,2,8.9
Phil Proctor,7,8.2
Philip Seymour Hoffman,2,8.1
Philip Stone,3,8.2
Philip Suriano,2,8.4
Pom Klementieff,2,8.4
Porter Hall,2,8.2
Quentin Tarantino,3,8.6
R. Lee Ermey,4,8.4
Rachel Singer,2,8.7
